ID,Description,Type,Category,Reference,Year,DOI,Mbasis,Moisture,Pbasis,FC,VM,Ash,HHV,LHV,Cellulose,Hemicellulose,Lignin,Ubasis,C,H,O,N,S,Cl,SiO2,CaO,Al2O3,Fe2O3,Na2O,K2O,MgO,P2O5,TiO2,SO3,Cr2O3
SMC,Shenmu coal,Coal,,Li et al.,2010.0,10.1016/j.ijhydene.2009.04.046,wb,3.78,wb,58.52,28.51,9.19,28.22,,,,,wb,70.35,4.56,10.53,1.04,0.55,,,,,,,,,,,,
SPF,Spruce pine and fir mixed sawdust,Biomass,Wood,Li et al.,2004.0,10.1016/S0961-9534(03)00084-9,db,10.0,db,,,0.7,19.8,,,,,db,50.4,6.25,41.6,0.62,0.34,,,,,,,,,,,,
Switchgrass,Switchgrass,Biomass,Grass,Carpenter et al.,2010.0,10.1021/ie900595m,wb,8.38,db,16.0,76.0,8.0,18.04,,,,,wb,42.6,4.9,36.0,0.6,0.08,0.17,62.4,11.2,1.79,0.92,0.87,10.6,3.47,4.19,0.09,0.92,
Tectona,Tectona grandis wood,Biomass,Wood,Fuwape,1993.0,10.1007/BF00705232,db,24.55,db,,,0.79,13.96,,,,,db,41.78,6.14,50.29,0.57,0.45,,,,,,,,,,,,
Vermont,Vermont wood,Biomass,Wood,Carpenter et al.,2010.0,10.1021/ie900595m,wb,4.56,db,14.2,85.4,0.4,19.45,,,,,wb,51.8,5.9,37.2,0.1,0.03,0.01,17.7,28.7,2.48,2.3,1.36,19.9,6.6,2.81,0.13,0.9,
Wheat,Wheat straw,Biomass,Straw,Carpenter et al.,2010.0,10.1021/ie900595m,wb,5.18,db,15.7,71.6,12.7,16.75,,,,,wb,48.3,5.3,28.8,0.3,0.09,0.64,65.1,3.58,1.32,0.89,0.85,16.7,1.57,5.21,0.18,1.16,
CH4,Methane,Hydrocarbon,,,,,,,,,,,,50.0,,,,db,75.0,25.0,,,,,,,,,,,,,,,
Average,Average sawdust,Biomass,Wood,Li et al.,2004.0,10.1016/S0961-9534(03)00084-9,db,15.0,db,,,1.14,20.6,,,,,db,50.9,6.6,40.5,0.51,0.34,,,,,,,,,,,,
GroundCornSeed,Discarded corn seed,Biomass,Agricultural,Timmer,2008.0,,wb,12.15,db,11.77,86.44,1.79,,,,,,db,48.91,5.95,41.46,1.73,0.16,0.01,9.25,2.67,2.03,0.89,0.18,29.0,12.3,38.07,0.04,0.58,
PineSawdust,Local timber mill pine sawdust,Biomass,Wood,Nikoo,2007.0,,wb,8.0,db,17.16,82.29,0.55,20.54,,,,,db,50.54,7.08,41.11,0.15,0.57,,,,,,,,,,,,
ThamaSawdust,Sawdust,Biomass,Wood,Thamavithya et al.,2010.0,10.1002/er.1796,wb,18.0,db,15.88,82.94,1.08,,,,,,daf,49.15,5.74,44.31,0.81,0.0,,,,,,,,,,,,
Trash,Cane trash,Biomass,Agricultural,Seabra et al.,2010.0,10.1016/j.biombioe.2010.01.042,wb,15.0,db,12.8,83.3,3.9,17.4,13.3,,,,db,46.1,6.2,43.1,0.6,0.1,,,,,,,,,,,,
GuoCorn,Compressed Corn Straw,Biomass,Straw,Guo et al.,2020.0,10.1007/s11708-020-0710-3,wb,4.89,wb,16.14,70.18,8.79,,,27.9,18.1,23.4,wb,42.04,5.13,38.23,0.69,0.23,0.0,,,,,,,,,,,
AltafiniSawdust,Pinus Elliotis sawdust,Biomass,Wood,Altafini et al.,2003.0,10.1016/S0196-8904(03)00025-6,,,db,0.0,99.9,0.1,20.407,19.087,,,,db,52.0,6.07,41.55,0.28,0.0,0.0,,,,,,,,,,,
ZhouRice,Rice Husk,Biomass,Agricultural,Zhou et al.,2009.0,10.1016/j.biotechadv.2009.04.011,wb,9.23,wb,14.87,58.69,17.21,,15.039,,,,wb,37.18,4.26,31.29,0.68,0.15,0.0,,,,,,,,,,,
ZhouSawdust,Sawdust,Biomass,Wood,Zhou et al.,2009.0,10.1016/j.biotechadv.2009.04.011,wb,4.79,wb,18.23,72.29,4.69,,18.313,,,,wb,48.88,6.29,33.59,1.7,0.06,0.0,,,,,,,,,,,
ZhouCamphor,Camphor wood,Biomass,Wood,Zhou et al.,2009.0,10.1016/j.biotechadv.2009.04.011,wb,12.29,wb,14.75,72.47,0.49,,17.482,,,,wb,43.43,4.84,38.53,0.32,0.1,0.0,,,,,,,,,,,
Sorghum,Sorghum (HTS),Biomass,Agricultural,Rodriguez-Alejandro et al.,2016.0,10.1016/j.energy.2016.09.079,,,db,14.44,71.4,14.16,19.58,,,,,db,42.29,5.74,37.32,0.42,0.07,,,,,,,,,,,,
Rubber,Rubber wood,Biomass,Sawdust,Jayah et al.,2003.0,10.1016/S0961-9534(03)00037-0,,,db,19.2,80.1,0.7,19.6,,,,,db,50.6,6.5,42.0,0.2,,,,,,,,,,,,,
DroguHazelnut,Hazelnut shell,Biomass,Agricultural,Drogu et al.,2002.0,10.1016/S0360-5442(01)00094-9,wb,12.45,wb,24.08,62.7,0.77,17.36,,,,,db,46.76,5.76,45.83,0.22,0.67,,,,,,,,,,,,
UniSimCoal,Coal from UniSim,Coal,,UniSim,2022.0,,wb,2.0,wb,61.7081,23.472,12.8199,24.727,24.155,,,,daf,78.475,3.9681,16.0249,0.7044,0.7748,0.0528,,,,,,,,,,,
Oltenia,Oltenia Ortho-lignite coal,Coal,Other,Perkins et al.,2008.0,10.1021/ef8001444,wb,13.39,wb,,,0.0,,,,,,wb,57.67,4.59,19.95,1.56,2.83,,,,,,,,,,,,
Centralia,Centralia LBK Coal,Coal,Subbituminous,Perkins et al.,2008.0,10.1021/ef8001444,wb,0.0,wb,,,0.0,,,,,,wb,76.0,4.7,18.7,0.1,0.4,,,,,,,,,,,,
Hanna,Hanna I Coal,Coal,Subbituminous,Klebingat et al.,2016.0,10.1016/j.fuel.2016.06.092,wb,0.0,wb,,,0.0,,,,,,wb,74.33,6.03,16.68,1.94,1.02,,,,,,,,,,,,
Tutorial,Apenas um exemplo,Biomass,Wood,Anése et al.,2023,Não existe,wb,4.79,wb,18.23,72.29,4.69,,18.313,,,,wb,48.88,6.29,33.59,1.7,0.06,0.0,,,,,,,,,,,
